PART | ARTICLE | NAME
PART 1 | 1 | Name and territory of the Union
PART 1 | 2 | Admission or establishment of new States
PART 1 | 2A | Sikkim to be associated with the Union
PART 1 | 3 | Formation of new States and alteration of areas, boundaries or names of existing States
PART 1 | 4 | Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters
PART 2 | 5 | Citizenship at the commencement of the Constitution
PART 2 | 6 | Rights of citizenship of certain persons who have migrated to India from Pakistan
PART 2 | 7 | Rights of citizenship of certain migrants to Pakistan
PART 2 | 8 | Rights of citizenship of certain persons of Indian origin residing outside India
PART 2 | 9 | Persons voluntarily acquiring citizenship of a foreign State not to be citizens
PART 2 | 10 | Continuance of the rights of citizenship
PART 2 | 11 | Parliament to regulate the right of citizenship by law
