PART | ARTICLE | NAME
PART 11.1 | 11.1 | [LEGISLATIVE RALATIONS]
PART 11.1 | 245 | Extent of laws made by Parliament and by the Legislatures of States
PART 11.1 | 246 | Subject-matter of laws made by Parliament and by the Legislatures of States
PART 11.1 | 246A | Special provision with respect to goods and services tax
PART 11.1 | 247 | Power of Parliament to provide for the establishment of certain additional Courts
PART 11.1 | 248 | Residuary powers of legislation
PART 11.1 | 249 | Power of Parliament to legislate with respect to a matter in the State List in the national interest
PART 11.1 | 250 | Power of Parliament to legislate with respect to any matter in the State List if a Proclamation of Emergency is in operation
PART 11.1 | 251 | Inconsistency between laws made by Parliament under articles 249 and 250 and laws made by the Legislatures of States
PART 11.1 | 252 | Power of Parliament to legislate for two or more States by consent and adoption of such legislation by any other State
PART 11.1 | 253 | Legislation for giving effect to international agreements
PART 11.1 | 254 | Inconsistency between laws made by Parliament and laws made by the Legislatures of States
PART 11.1 | 255 | Requirements as to recommendations and previous sanctions to be regarded as matters of procedure only
PART 11.2 | 11.2 | [ADMINISTRATIVE RELATIONS]
PART 11.2 | 256 | Obligation of States and the Union
PART 11.2 | 257 | Control of the Union over States in certain cases
PART 11.2 | 257A | Assistance to States by deployment of armed forces or other forces of the Union
PART 11.2 | 258 | Power of the Union to confer powers, etc
PART 11.2 | 258A | Power of the States to entrust functions to the Union
PART 11.2 | 259 | Armed Forces in States in Part B of the First Schedule
PART 11.2 | 260 | Jurisdiction of the Union in relation to territories outside India
PART 11.2 | 261 | Public acts, records and judicial proceedings
PART 11.2 | 262 | Adjudication of disputes relating to waters of inter-State rivers or river valleys
PART 11.2 | 263 | Provisions with respect to an inter-State Council
