PART 12.1 | 12.1 | [FINANCE]
PART 12.1 | 264 | Interpretation
PART 12.1 | 265 | Taxes not to be imposed save by authority of law
PART 12.1 | 266 | Consolidated Funds and public accounts of India and of the States
PART 12.1 | 267 | Contingency Fund
PART 12.1 | 268 | Duties levied by the Union but collected and appropriated by the States
PART 12.1 | 268A | Service tax levied by Union and collected and appropriated by the Union and the States
PART 12.1 | 269 | Taxes levied and collected by the Union but assigned to the States
PART 12.1 | 269A | Levy and collection of goods and services tax in course of inter-State trade or commerce
PART 12.1 | 270 | Taxes levied and distributed between the Union and the States
PART 12.1 | 271 | Surcharge on certain duties and taxes for purposes of the Union
PART 12.1 | 272 | Taxes which are levied and collected by the Union and may be distributed between the Union and the States
PART 12.1 | 273 | Grants in lieu of export duty on jute and jute products
PART 12.1 | 274 | Prior recommendation of President required to Bills affecting taxation in which States are interested
PART 12.1 | 275 | Grants from the Union to certain States
PART 12.1 | 276 | Taxes on professions, trades, callings and employments
PART 12.1 | 277 | Savings
PART 12.1 | 278 | Agreement with States in Part B of the First Schedule with regard to certain financial matters
PART 12.1 | 279 | Calculation of (net proceeds), etc
PART 12.1 | 279A | Goods and Services Tax Council
PART 12.1 | 280 | Finance Commission
PART 12.1 | 281 | Recommendations of the Finance Commission
PART 12.1 | 282 | Expenditure defrayable by the Union or a State out of its revenues
PART 12.1 | 283 | Custody, etc
PART 12.1 | 284 | Custody of suitors' deposits and other moneys received by public servants and Courts
PART 12.1 | 285 | Exemption of property of the Union from State taxation
PART 12.1 | 286 | Restrictions as to imposition of tax on the sale or purchase of goods
PART 12.1 | 287 | Exemption from taxes on electricity
PART 12.1 | 288 | Exemption from taxation by States in respect of water or electricity in certain cases
PART 12.1 | 289 | Exemption of property and income of a State from Union taxation
PART 12.1 | 290 | Adjustment in respect of certain expenses and pensions
PART 12.1 | 290A | Annual payment to certain Devaswom Funds
PART 12.1 | 291 | Privy purse sums of Rulers
