PART | ARTICLE | NAME
PART 17.1 | 17.1 | [LANGUAGE of the UNION]
PART 17.1 | 343 | Official language of the Union
PART 17.1 | 344 | Commission and Committee of Parliament on official language
PART 17.2 | 17.2 | [REGIONAL LANGUAGES]
PART 17.2 | 345 | Official language or languages of a State
PART 17.2 | 346 | Official language for communication between one State and another or between a State and the Union
PART 17.2 | 347 | Special provision relating to language spoken by a section of the population of a State
PART 17.3 | 17.3 | [LANGUAGE of the SC, HCS, etc]
PART 17.3 | 348 | Language to be used in the Supreme Court and in the High Courts and for Acts, Bills, etc
PART 17.3 | 349 | Special procedure for enactment of certain laws relating to language
PART 17.3 | 350 | Language to be used in representations for redress of grievances
PART 17.3 | 350A | Facilities for instruction in mother-tongue at primary stage
PART 17.3 | 350B | Special Officer for linguistic minorities
PART 17.3 | 351 | Directive for development of the Hindi language
