PART 18 | 352 | Proclamation of Emergency
PART 18 | 353 | Effect of Proclamation of Emergency
PART 18 | 354 | Application of provisions relating to distribution of revenues while a Proclamation of Emergency is in operation
PART 18 | 355 | Duty of the Union to protect States against external aggression and internal disturbance
PART 18 | 356 | Provisions in case of failure of constitutional machinery in States
PART 18 | 357 | Exercise of legislative powers under Proclamation issued under article 356
PART 18 | 358 | Suspension of provisions of article 19 during emergencies
PART 18 | 359 | Suspension of the enforcement of the rights conferred by Part III during emergencies
PART 18 | 359A | Application of this Part to the State of Punjab
PART 18 | 360 | Provisions as to financial emergency
PART 19 | 361 | Protection of President and Governors and Rajpramukhs
PART 19 | 361A | Protection of publication of proceedings of Parliament and State Legislatures
PART 19 | 361B | Disqualification for appointment on remunerative political post
PART 19 | 362 | Rights and privileges of Rulers of Indian States
PART 19 | 363 | Bar to interference by Courts in disputes arising out of certain treaties, agreements, etc
PART 19 | 363A | Recognition granted to Rulers of Indian States to cease and privy purses to be abolished
PART 19 | 364 | Special provisions as to major ports and aerodromes
PART 19 | 365 | Effect of failure to comply with, or to give effect to, directions given by the Union
PART 19 | 366 | Definitions
PART 19 | 367 | Interpretation
PART 20 | 368 | Power of Parliament to amend the Constitution and procedure therefor
PART 22 | 393 | Short title
PART 22 | 394 | Commencement
PART 22 | 394A | Authoritative text in the Hindi language
PART 22 | 395 | Repeals
