PART | ARTICLE | NAME
PART 21 | 369 | Temporary power to Parliament to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List
PART 21 | 370 | Temporary provisions with respect to the State of Jammu and Kashmir
PART 21 | 371 | Special provision with respect to the States of Maharashtra and Gujarat
PART 21 | 371A | Special provision with respect to the State of Nagaland
PART 21 | 371B | Special provision with respect to the State of Assam
PART 21 | 371C | Special provision with respect to the State of Manipur
PART 21 | 371D | Special provisions with respect to the State of Andhra Pradesh
PART 21 | 371E | Establishment of Central University in Andhra Pradesh
PART 21 | 371F | Special provisions with respect to the State of Sikkim
PART 21 | 371G | Special provision with respect to the State of Mizoram
PART 21 | 371H | Special provision with respect to the State of Arunachal Pradesh
PART 21 | 371I | Special provision with respect to the State of Goa
PART 21 | 371J | Special provisions with respect to State of Karnataka
PART 21 | 372 | Continuance in force of existing laws and their adaptation
PART 21 | 372A | Power of the President to adapt laws
PART 21 | 373 | Power of President to make order in respect of persons under preventive detention in certain cases
PART 21 | 374 | Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council
PART 21 | 375 | Courts, authorities and officers to continue to function subject to the provisions of the Constitution
PART 21 | 376 | Provisions as to Judges of High Courts
PART 21 | 377 | Provisions as to Comptroller and Auditor-General of India
PART 21 | 378 | Provisions as to Public Service Commissions
PART 21 | 378A | Special provision as to duration of Andhra Pradesh Legislative Assembly
PART 21 | 379 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 380 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 381 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 382 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 383 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 384 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 385 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 386 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 387 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 388 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 389 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 390 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 391 | Repealed by the Constitution (Seventh Amendment) Act , 1956, section 29 and Schedule (wef 1-11-1956)
PART 21 | 392 | Power of the President to remove difficulties
