PART 3 | 12 | Definition
PART 3 | 13 | Laws inconsistent with or in derogation of the fundamental rights
PART 3 | 14 | Equality before law
PART 3 | 15 | Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth
PART 3 | 16 | Equality of opportunity in matters of public employment
PART 3 | 17 | Abolition of untouchability
PART 3 | 18 | Abolition of titles
PART 3 | 19 | Protection of certain rights regarding freedom of speech, etc
PART 3 | 20 | Protection in respect of conviction for offences
PART 3 | 21 | Protection of life and personal liberty
PART 3 | 21A | Right to education
PART 3 | 22 | Protection against arrest and detention in certain cases
PART 3 | 23 | Prohibition of traffic in human beings and forced labour
PART 3 | 24 | Prohibition of employment of children in factories, etc
PART 3 | 25 | Freedom of conscience and free profession, practice and propagation of religion
PART 3 | 26 | Freedom to manage religious affairs
PART 3 | 27 | Freedom as to payment of taxes for promotion of any particular religion
PART 3 | 28 | Freedom as to attendance at religious instruction or religious worship in certain educational institutions
PART 3 | 29 | Protection of interests of minorities
PART 3 | 30 | Right of minorities to establish and administer educational institutions
PART 3 | 31 | Compulsory acquisition of property
PART 3 | 31A | Saving of laws providing for acquisition of estates, etc
PART 3 | 31B | Validation of certain Acts and Regulations
PART 3 | 31C | Saving of laws giving effect to certain directive principles
PART 3 | 31D | Saving of laws in respect of anti-national activities
PART 3 | 32 | Remedies for enforcement of rights conferred by this Part
PART 3 | 32A | Constitutional validity of State laws not to be considered in proceedings under article 32
PART 3 | 33 | Power of Parliament to modify the rights conferred by this Part in their application to Forces, etc
PART 3 | 34 | Restriction on rights conferred by this Part while martial law is in force in any area
PART 3 | 35 | Legislation to give effect to the provisions of this Part
