PART 5.3 | 5.3 | [LEGISLATIVE POWERS OF THE PRESIDENT]
PART 5.3 | 123 | Power of President to promulgate Ordinances during recess of Parliament
PART 5.4 | 5.4 | [THE UNION JUDICIARY]
PART 5.4 | 124 | Establishment and constitution of Supreme Court
PART 5.4 | 124A | National Judicial Appointments Commission
PART 5.4 | 124B | Functions of Commission
PART 5.4 | 124C | Power of Parliament to make law
PART 5.4 | 125 | Salaries, etc
PART 5.4 | 126 | Appointment of acting Chief Justice
PART 5.4 | 127 | Appointment of ad hoc Judges
PART 5.4 | 128 | Attendance of retired Judges at sittings of the Supreme Court
PART 5.4 | 129 | Supreme Court to be a Court of record
PART 5.4 | 130 | Seat of Supreme Court
PART 5.4 | 131 | Original jurisdiction of the Supreme Court
PART 5.4 | 131A | Exclusive jurisdiction of the Supreme Court in regard to questions as to constitutional validity of Central Laws
PART 5.4 | 132 | Appellate jurisdiction of Supreme Court in appeals from High Courts in certain cases
PART 5.4 | 133 | Appellate jurisdiction of Supreme Court in appeals from High Courts in regard to civil matters
PART 5.4 | 134 | Appellate jurisdiction of Supreme Court in regard to criminal matters
PART 5.4 | 134A | Certificate for appeal to the Supreme Court
PART 5.4 | 135 | Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court
PART 5.4 | 136 | Special leave to appeal by the Supreme Court
PART 5.4 | 137 | Review of judgments or orders by the Supreme Court
PART 5.4 | 138 | Enlargement of the jurisdiction of the Supreme Court
PART 5.4 | 139 | Conferment on the Supreme Court of powers to issue certain writs
PART 5.4 | 139A | Transfer of certain cases
PART 5.4 | 140 | Ancillary powers of Supreme Court
PART 5.4 | 141 | Law declared by Supreme Court to be binding on all Courts
PART 5.4 | 142 | Enforcement of decrees and orders of Supreme Court and orders as to discovery, etc
PART 5.4 | 143 | Power of President to consult Supreme Court
PART 5.4 | 144 | Civil and judicial authorities to act in aid of the Supreme Court
PART 5.4 | 144A | Special provisions as to disposal of questions relating to constitutional validity of laws
PART 5.4 | 145 | Rules of Court, etc
PART 5.4 | 146 | Officers and servants and the expenses of the Supreme Court
PART 5.4 | 147 | Interpretation
PART 5.5 | 5.5 | [COMPTROLLER and AUDITOR-GENERAL of INDIA]
PART 5.5 | 148 | Comptroller and Auditor-General of India
PART 5.5 | 149 | Duties and powers of the Comptroller and Auditor-General
PART 5.5 | 150 | Form of accounts of the Union and of the States
PART 5.5 | 151 | Audit reports
