PART 6.4 | 6.4 | [LEGISLATIVE POWER OF THE GOVERNOR]
PART 6.4 | 213 | Power of Governor to promulgate Ordinances during recess of Legislature
PART 6.5 | 6.5 | [THE HIGH COURTS IN THE STATE]
PART 6.5 | 214 | High Courts for States
PART 6.5 | 215 | High Courts to be Courts of record
PART 6.5 | 216 | Constitution of High Courts
PART 6.5 | 217 | Appointment and conditions of the office of a Judge of a High Court
PART 6.5 | 218 | Application of certain provisions relating to Supreme Court to High Courts
PART 6.5 | 219 | Oath or affirmation by Judges of High Courts
PART 6.5 | 220 | Restriction on practice after being a permanent Judge
PART 6.5 | 221 | Salaries, etc
PART 6.5 | 222 | Transfer of a Judge from one High Court to another
PART 6.5 | 223 | Appointment of acting Chief Justice
PART 6.5 | 224 | Appointment of additional and acting Judges
PART 6.5 | 224A | Appointment of retired Judges at sittings of High Courts
PART 6.5 | 225 | Jurisdiction of existing High Courts
PART 6.5 | 226 | Power of High Courts to issue certain writs
PART 6.5 | 226A | Constitutional validity of Central laws not to be considered in proceedings under article 226
PART 6.5 | 227 | Power of superintendence over all Courts by the High Court
PART 6.5 | 228 | Transfer of certain cases to High Court
PART 6.5 | 228A | Special provisions as to disposal of questions relating to constitutional validity of State laws
PART 6.5 | 229 | Officers and servants and the expenses of High Courts
PART 6.5 | 230 | Extension of jurisdiction of High Courts to Union territories
PART 6.5 | 231 | Establishment of a common High Court for two or more States
PART 6.6 | 6.6 | [SUBORDINATE COURTS]
PART 6.6 | 233 | Appointment of district judges
PART 6.6 | 233A | Validation of appointments of, and Judgements, etc
PART 6.6 | 234 | Recruitment of persons other than district judges to the judicial service
PART 6.6 | 235 | Control over subordinate Courts
PART 6.6 | 236 | Interpretation
PART 6.6 | 237 | Application of the provisions of this Chapter to certain class or classes of magistrates
