PART 9A | 243P | Definitions
PART 9A | 243Q | Constitution of Municipalities
PART 9A | 243R | Composition of Municipalities
PART 9A | 243S | Constitution and composition of Wards Committees, etc
PART 9A | 243T | Reservation of seats
PART 9A | 243U | Duration of Municipalities, etc
PART 9A | 243V | Disqualifications for membership
PART 9A | 243W | Powers, authority and responsibilities of Municipalities, etc
PART 9A | 243X | Power to impose taxes by, and Funds of, the Municipalities
PART 9A | 243Y | Finance Commission
PART 9A | 243Z | Audit of accounts of Municipalities
PART 9A | 243ZA | Elections to the Municipalities
PART 9A | 243ZB | Application to Union territories
PART 9A | 243ZC | Part not to apply to certain areas
PART 9A | 243ZD | Committee for district planning
PART 9A | 243ZE | Committee for Metropolitan planning
PART 9A | 243ZF | Continuance of existing laws and Municipalities
PART 9A | 243ZG | Bar to interference by Courts in electoral matters
PART 9B | 243ZH | Definitions
PART 9B | 243ZI | Incorporation of Co-operative Societies
PART 9B | 243ZJ | Number and term of members of board and its office bearers
PART 9B | 243ZK | Election of members of board
PART 9B | 243ZL | Supersession and suspension of board and interim management
PART 9B | 243ZM | Audit of accounts of co-operative societies
PART 9B | 243ZN | Convening of general body meetings
PART 9B | 243ZO | Right of a member to get information
PART 9B | 243ZP | Returns
PART 9B | 243ZQ | Offences and penalties
PART 9B | 243ZR | Application to multi-State co-operative societies
PART 9B | 243ZS | Application to Union Territories
PART 9B | 243ZT | Continuance of existing laws
PART 10 | 244 | Administration of Scheduled Areas and Tribal Areas
PART 10 | 244A | Formation of an autonomous State comprising certain tribal areas in Assam and creation of local Legislature or Council of Ministers or both therefor
