index|Story _name|cases|major
1|Article 21 – Right to Life|12|tuition
2|Basic Structure Doctrine|9|nip
3|Freedom of Speech & Sedition|6|mech
4|Custodial Violence & Arrest|5|roll
5|9th Schedule & Property|5|lala
6|Reservations & Creamy Layer|5|jhelo
7|Natural Justice & Administrative Law|4|kher
8|Doctrine of Waiver|4|far
9|Rape & Consent (Nirbhaya Arc)|4|pear
10|Maintenance (Sec 125 / Muslim Women)|3|taoism
11|Sexual Harassment (Vishaka)|3|daytime
12|Election Law – Disqualification & Free Speech|3|run
13|Abetment of Suicide|3|tamam
14|Conversion & Bigamy|2|torn
